
--- RSI|VP-buy m1% (346 entries, 5457%) ---
   BUY | 2021-10-21 05:00 | $    65,043 | Cap: $     4,549 | VP<VAL(3d)
  SELL | 2021-10-25 01:00 | $    61,813 | Cap: $     4,323 | VP>VAH(3d)
   BUY | 2021-10-26 22:00 | $    60,811 | Cap: $     4,323 | VP<VAL(3d)
  SELL | 2021-10-28 09:00 | $    60,560 | Cap: $     4,305 | VP>VAH(3d)
   BUY | 2021-10-31 12:00 | $    60,468 | Cap: $     4,305 | VP<VAL(3d)
  SELL | 2021-11-01 08:00 | $    62,176 | Cap: $     4,427 | VP>VAH(3d)
   BUY | 2021-11-01 18:00 | $    60,765 | Cap: $     4,427 | VP<VAL(3d)
  SELL | 2021-11-02 10:00 | $    63,051 | Cap: $     4,593 | VP>VAH(3d)
   BUY | 2021-11-03 14:00 | $    61,821 | Cap: $     4,593 | VP<VAL(3d)
  SELL | 2021-11-03 19:00 | $    63,149 | Cap: $     4,692 | VP>VAH(3d)
   BUY | 2021-11-04 09:00 | $    61,611 | Cap: $     4,692 | VP<VAL(3d)
  SELL | 2021-11-07 04:00 | $    62,133 | Cap: $     4,732 | VP>VAH(3d)
   BUY | 2021-11-10 21:00 | $    65,840 | Cap: $     4,732 | VP<VAL(3d)
  SELL | 2021-11-15 | $    65,519 | Cap: $     4,709 | VP>VAH(3d)
   BUY | 2021-11-15 15:00 | $    64,851 | Cap: $     4,709 | VP<VAL(3d)
  SELL | 2021-11-20 19:00 | $    59,411 | Cap: $     4,314 | VP>VAH(3d)
   BUY | 2021-11-22 04:00 | $    57,383 | Cap: $     4,314 | VP<VAL(3d)
  SELL | 2021-11-25 01:00 | $    58,008 | Cap: $     4,361 | VP>VAH(3d)
   BUY | 2021-11-26 09:00 | $    55,211 | Cap: $     4,361 | VP<VAL(3d)
  SELL | 2021-11-28 22:00 | $    56,273 | Cap: $     4,445 | VP>VAH(3d)
   BUY | 2021-11-30 07:00 | $    56,534 | Cap: $     4,445 | VP<VAL(3d)
  SELL | 2021-11-30 14:00 | $    58,317 | Cap: $     4,585 | VP>VAH(3d)
   BUY | 2021-12-02 04:00 | $    56,300 | Cap: $     4,585 | VP<VAL(3d)
  SELL | 2021-12-06 22:00 | $    50,059 | Cap: $     4,076 | VP>VAH(3d)
   BUY | 2021-12-09 03:00 | $    49,886 | Cap: $     4,076 | VP<VAL(3d)
  SELL | 2021-12-12 | $    49,390 | Cap: $     4,036 | VP>VAH(3d)
   BUY | 2021-12-13 16:00 | $    47,252 | Cap: $     4,036 | VP<VAL(3d)
  SELL | 2021-12-14 07:00 | $    46,670 | Cap: $     3,986 | VP>VAH(3d)
   BUY | 2021-12-17 07:00 | $    47,420 | Cap: $     3,986 | VP<VAL(3d)
  SELL | 2021-12-19 13:00 | $    47,257 | Cap: $     3,973 | VP>VAH(3d)
   BUY | 2021-12-20 09:00 | $    46,278 | Cap: $     3,973 | VP<VAL(3d)
  SELL | 2021-12-21 04:00 | $    47,928 | Cap: $     4,114 | VP>VAH(3d)
   BUY | 2021-12-23 08:00 | $    48,130 | Cap: $     4,114 | VP<VAL(3d)
  SELL | 2021-12-23 17:00 | $    49,089 | Cap: $     4,196 | VP>VAH(3d)
   BUY | 2021-12-26 | $    50,400 | Cap: $     4,196 | VP<VAL(3d)
  SELL | 2021-12-27 14:00 | $    51,300 | Cap: $     4,271 | VP>VAH(3d)
   BUY | 2021-12-28 02:00 | $    49,819 | Cap: $     4,271 | VP<VAL(3d)
  SELL | 2021-12-31 09:00 | $    48,434 | Cap: $     4,152 | VP>VAH(3d)
   BUY | 2021-12-31 19:00 | $    46,686 | Cap: $     4,152 | VP<VAL(3d)
  SELL | 2022-01-01 18:00 | $    47,754 | Cap: $     4,247 | VP>VAH(3d)
   BUY | 2022-01-03 16:00 | $    46,693 | Cap: $     4,247 | VP<VAL(3d)
  SELL | 2022-01-04 20:00 | $    46,052 | Cap: $     4,189 | VP>VAH(3d)
   BUY | 2022-01-05 18:00 | $    46,011 | Cap: $     4,189 | VP<VAL(3d)
  SELL | 2022-01-09 20:00 | $    42,695 | Cap: $     3,887 | VP>VAH(3d)
   BUY | 2022-01-10 13:00 | $    40,930 | Cap: $     3,887 | VP<VAL(3d)
  SELL | 2022-01-11 17:00 | $    42,705 | Cap: $     4,056 | VP>VAH(3d)
   BUY | 2022-01-14 11:00 | $    42,075 | Cap: $     4,056 | VP<VAL(3d)
  SELL | 2022-01-14 17:00 | $    43,201 | Cap: $     4,164 | VP>VAH(3d)
   BUY | 2022-01-14 18:00 | $    42,913 | Cap: $     4,164 | VP<VAL(3d)
  SELL | 2022-01-16 17:00 | $    43,381 | Cap: $     4,210 | VP>VAH(3d)
   BUY | 2022-01-17 04:00 | $    42,647 | Cap: $     4,210 | VP<VAL(3d)
  SELL | 2022-01-20 14:00 | $    42,374 | Cap: $     4,183 | VP>VAH(3d)
   BUY | 2022-01-20 22:00 | $    41,326 | Cap: $     4,183 | VP<VAL(3d)
  SELL | 2022-01-24 21:00 | $    37,219 | Cap: $     3,767 | VP>VAH(3d)
   BUY | 2022-01-27 18:00 | $    36,282 | Cap: $     3,767 | VP<VAL(3d)
  SELL | 2022-01-28 21:00 | $    37,758 | Cap: $     3,920 | VP>VAH(3d)
   BUY | 2022-01-31 01:00 | $    36,829 | Cap: $     3,920 | VP<VAL(3d)
  SELL | 2022-01-31 15:00 | $    37,511 | Cap: $     3,993 | VP>VAH(3d)
   BUY | 2022-02-02 15:00 | $    37,704 | Cap: $     3,993 | VP<VAL(3d)
  SELL | 2022-02-04 16:00 | $    39,491 | Cap: $     4,182 | VP>VAH(3d)
   BUY | 2022-02-08 18:00 | $    42,954 | Cap: $     4,182 | VP<VAL(3d)
  SELL | 2022-02-09 20:00 | $    44,466 | Cap: $     4,329 | VP>VAH(3d)
   BUY | 2022-02-11 06:00 | $    42,848 | Cap: $     4,329 | VP<VAL(3d)
  SELL | 2022-02-14 17:00 | $    42,651 | Cap: $     4,310 | VP>VAH(3d)
   BUY | 2022-02-17 10:00 | $    43,216 | Cap: $     4,310 | VP<VAL(3d)
  SELL | 2022-02-21 17:00 | $    38,696 | Cap: $     3,859 | VP>VAH(3d)
   BUY | 2022-02-21 22:00 | $    37,059 | Cap: $     3,859 | VP<VAL(3d)
  SELL | 2022-02-22 15:00 | $    38,140 | Cap: $     3,971 | VP>VAH(3d)
   BUY | 2022-02-24 03:00 | $    35,925 | Cap: $     3,971 | VP<VAL(3d)
  SELL | 2022-02-25 13:00 | $    39,364 | Cap: $     4,352 | VP>VAH(3d)
   BUY | 2022-02-27 20:00 | $    37,604 | Cap: $     4,352 | VP<VAL(3d)
  SELL | 2022-02-28 15:00 | $    39,826 | Cap: $     4,609 | VP>VAH(3d)
   BUY | 2022-03-03 16:00 | $    42,547 | Cap: $     4,609 | VP<VAL(3d)
  SELL | 2022-03-06 01:00 | $    39,644 | Cap: $     4,294 | VP>VAH(3d)
   BUY | 2022-03-06 11:00 | $    38,257 | Cap: $     4,294 | VP<VAL(3d)
  SELL | 2022-03-08 11:00 | $    39,064 | Cap: $     4,385 | VP>VAH(3d)
   BUY | 2022-03-13 13:00 | $    38,499 | Cap: $     4,385 | VP<VAL(3d)
  SELL | 2022-03-14 23:00 | $    39,326 | Cap: $     4,479 | VP>VAH(3d)
   BUY | 2022-03-15 08:00 | $    38,440 | Cap: $     4,479 | VP<VAL(3d)
  SELL | 2022-03-15 18:00 | $    39,296 | Cap: $     4,579 | VP>VAH(3d)
   BUY | 2022-03-20 18:00 | $    41,033 | Cap: $     4,579 | VP<VAL(3d)
  SELL | 2022-03-22 03:00 | $    41,841 | Cap: $     4,669 | VP>VAH(3d)
   BUY | 2022-03-22 16:00 | $    42,574 | Cap: $     4,669 | VP<VAL(3d)
  SELL | 2022-03-24 07:00 | $    43,198 | Cap: $     4,737 | VP>VAH(3d)
   BUY | 2022-03-31 14:00 | $    46,913 | Cap: $     4,737 | VP<VAL(3d)
  SELL | 2022-04-03 22:00 | $    46,980 | Cap: $     4,744 | VP>VAH(3d)
   BUY | 2022-04-04 10:00 | $    45,905 | Cap: $     4,744 | VP<VAL(3d)
  SELL | 2022-04-05 02:00 | $    46,632 | Cap: $     4,819 | VP>VAH(3d)
   BUY | 2022-04-05 15:00 | $    45,820 | Cap: $     4,819 | VP<VAL(3d)
  SELL | 2022-04-10 18:00 | $    43,104 | Cap: $     4,534 | VP>VAH(3d)
   BUY | 2022-04-10 23:00 | $    42,112 | Cap: $     4,534 | VP<VAL(3d)
  SELL | 2022-04-13 16:00 | $    41,158 | Cap: $     4,431 | VP>VAH(3d)
   BUY | 2022-04-15 17:00 | $    40,383 | Cap: $     4,431 | VP<VAL(3d)
  SELL | 2022-04-18 16:00 | $    39,254 | Cap: $     4,307 | VP>VAH(3d)
   BUY | 2022-04-21 21:00 | $    40,609 | Cap: $     4,307 | VP<VAL(3d)
  SELL | 2022-04-25 19:00 | $    39,887 | Cap: $     4,231 | VP>VAH(3d)
   BUY | 2022-04-26 16:00 | $    38,564 | Cap: $     4,231 | VP<VAL(3d)
  SELL | 2022-04-28 01:00 | $    39,386 | Cap: $     4,321 | VP>VAH(3d)
   BUY | 2022-04-29 17:00 | $    38,522 | Cap: $     4,321 | VP<VAL(3d)
  SELL | 2022-05-02 09:00 | $    38,922 | Cap: $     4,366 | VP>VAH(3d)
   BUY | 2022-05-02 15:00 | $    38,840 | Cap: $     4,366 | VP<VAL(3d)
  SELL | 2022-05-04 11:00 | $    38,996 | Cap: $     4,383 | VP>VAH(3d)
   BUY | 2022-05-05 16:00 | $    36,910 | Cap: $     4,383 | VP<VAL(3d)
  SELL | 2022-05-10 06:00 | $    31,828 | Cap: $     3,780 | VP>VAH(3d)
   BUY | 2022-05-11 07:00 | $    30,498 | Cap: $     3,780 | VP<VAL(3d)
  SELL | 2022-05-14 23:00 | $    30,239 | Cap: $     3,748 | VP>VAH(3d)
   BUY | 2022-05-16 17:00 | $    29,318 | Cap: $     3,748 | VP<VAL(3d)
  SELL | 2022-05-17 04:00 | $    30,364 | Cap: $     3,881 | VP>VAH(3d)
   BUY | 2022-05-18 13:00 | $    29,550 | Cap: $     3,881 | VP<VAL(3d)
  SELL | 2022-05-19 16:00 | $    30,389 | Cap: $     3,992 | VP>VAH(3d)
   BUY | 2022-05-20 16:00 | $    29,153 | Cap: $     3,992 | VP<VAL(3d)
  SELL | 2022-05-21 17:00 | $    29,563 | Cap: $     4,048 | VP>VAH(3d)
   BUY | 2022-05-21 20:00 | $    29,464 | Cap: $     4,048 | VP<VAL(3d)
  SELL | 2022-05-23 07:00 | $    30,488 | Cap: $     4,188 | VP>VAH(3d)
   BUY | 2022-05-24 14:00 | $    28,961 | Cap: $     4,188 | VP<VAL(3d)
  SELL | 2022-05-25 04:00 | $    30,198 | Cap: $     4,367 | VP>VAH(3d)
   BUY | 2022-05-26 09:00 | $    29,010 | Cap: $     4,367 | VP<VAL(3d)
  SELL | 2022-05-29 13:00 | $    29,380 | Cap: $     4,423 | VP>VAH(3d)
   BUY | 2022-06-01 16:00 | $    30,743 | Cap: $     4,423 | VP<VAL(3d)
  SELL | 2022-06-02 23:00 | $    30,483 | Cap: $     4,386 | VP>VAH(3d)
   BUY | 2022-06-04 04:00 | $    29,560 | Cap: $     4,386 | VP<VAL(3d)
  SELL | 2022-06-05 16:00 | $    29,972 | Cap: $     4,447 | VP>VAH(3d)
   BUY | 2022-06-07 01:00 | $    30,198 | Cap: $     4,447 | VP<VAL(3d)
  SELL | 2022-06-07 20:00 | $    31,060 | Cap: $     4,574 | VP>VAH(3d)
   BUY | 2022-06-08 03:00 | $    30,973 | Cap: $     4,574 | VP<VAL(3d)
  SELL | 2022-06-12 15:00 | $    27,815 | Cap: $     4,107 | VP>VAH(3d)
   BUY | 2022-06-12 23:00 | $    26,995 | Cap: $     4,107 | VP<VAL(3d)
  SELL | 2022-06-19 11:00 | $    19,907 | Cap: $     3,029 | VP>VAH(3d)
   BUY | 2022-06-22 21:00 | $    19,880 | Cap: $     3,029 | VP<VAL(3d)
  SELL | 2022-06-24 | $    21,110 | Cap: $     3,216 | VP>VAH(3d)
   BUY | 2022-06-27 | $    21,038 | Cap: $     3,216 | VP<VAL(3d)
  SELL | 2022-06-27 09:00 | $    21,490 | Cap: $     3,285 | VP>VAH(3d)
   BUY | 2022-06-27 14:00 | $    20,738 | Cap: $     3,285 | VP<VAL(3d)
  SELL | 2022-06-29 20:00 | $    20,224 | Cap: $     3,204 | VP>VAH(3d)
   BUY | 2022-06-30 07:00 | $    19,420 | Cap: $     3,204 | VP<VAL(3d)
  SELL | 2022-07-01 02:00 | $    20,416 | Cap: $     3,368 | VP>VAH(3d)
   BUY | 2022-07-01 04:00 | $    19,731 | Cap: $     3,368 | VP<VAL(3d)
  SELL | 2022-07-03 20:00 | $    19,492 | Cap: $     3,328 | VP>VAH(3d)
   BUY | 2022-07-04 03:00 | $    19,072 | Cap: $     3,328 | VP<VAL(3d)
  SELL | 2022-07-04 10:00 | $    19,367 | Cap: $     3,379 | VP>VAH(3d)
   BUY | 2022-07-09 12:00 | $    21,447 | Cap: $     3,379 | VP<VAL(3d)
  SELL | 2022-07-14 | $    20,235 | Cap: $     3,188 | VP>VAH(3d)
   BUY | 2022-07-18 18:00 | $    21,876 | Cap: $     3,188 | VP<VAL(3d)
  SELL | 2022-07-19 | $    22,433 | Cap: $     3,269 | VP>VAH(3d)
   BUY | 2022-07-22 20:00 | $    22,583 | Cap: $     3,269 | VP<VAL(3d)
  SELL | 2022-07-27 | $    21,255 | Cap: $     3,077 | VP>VAH(3d)
   BUY | 2022-07-29 13:00 | $    23,511 | Cap: $     3,077 | VP<VAL(3d)
  SELL | 2022-07-30 13:00 | $    24,378 | Cap: $     3,190 | VP>VAH(3d)
   BUY | 2022-07-31 23:00 | $    23,380 | Cap: $     3,190 | VP<VAL(3d)
  SELL | 2022-08-03 10:00 | $    23,385 | Cap: $     3,191 | VP>VAH(3d)
   BUY | 2022-08-03 23:00 | $    22,932 | Cap: $     3,191 | VP<VAL(3d)
  SELL | 2022-08-05 12:00 | $    23,404 | Cap: $     3,257 | VP>VAH(3d)
   BUY | 2022-08-09 10:00 | $    23,473 | Cap: $     3,257 | VP<VAL(3d)
  SELL | 2022-08-10 13:00 | $    23,984 | Cap: $     3,328 | VP>VAH(3d)
   BUY | 2022-08-14 17:00 | $    24,310 | Cap: $     3,328 | VP<VAL(3d)
  SELL | 2022-08-15 03:00 | $    24,918 | Cap: $     3,411 | VP>VAH(3d)
   BUY | 2022-08-15 07:00 | $    24,135 | Cap: $     3,411 | VP<VAL(3d)
  SELL | 2022-08-17 07:00 | $    24,404 | Cap: $     3,449 | VP>VAH(3d)
   BUY | 2022-08-17 12:00 | $    23,747 | Cap: $     3,449 | VP<VAL(3d)
  SELL | 2022-08-21 23:00 | $    21,567 | Cap: $     3,132 | VP>VAH(3d)
   BUY | 2022-08-22 08:00 | $    21,098 | Cap: $     3,132 | VP<VAL(3d)
  SELL | 2022-08-23 09:00 | $    21,451 | Cap: $     3,185 | VP>VAH(3d)
   BUY | 2022-08-24 03:00 | $    21,200 | Cap: $     3,185 | VP<VAL(3d)
  SELL | 2022-08-24 16:00 | $    21,618 | Cap: $     3,247 | VP>VAH(3d)
   BUY | 2022-08-26 12:00 | $    21,191 | Cap: $     3,247 | VP<VAL(3d)
  SELL | 2022-08-26 14:00 | $    21,755 | Cap: $     3,334 | VP>VAH(3d)
   BUY | 2022-08-26 15:00 | $    21,160 | Cap: $     3,334 | VP<VAL(3d)
  SELL | 2022-08-29 16:00 | $    20,264 | Cap: $     3,193 | VP>VAH(3d)
   BUY | 2022-08-30 16:00 | $    19,756 | Cap: $     3,193 | VP<VAL(3d)
  SELL | 2022-08-31 03:00 | $    20,335 | Cap: $     3,286 | VP>VAH(3d)
   BUY | 2022-09-01 15:00 | $    19,693 | Cap: $     3,286 | VP<VAL(3d)
  SELL | 2022-09-02 15:00 | $    20,363 | Cap: $     3,398 | VP>VAH(3d)
   BUY | 2022-09-02 18:00 | $    19,802 | Cap: $     3,398 | VP<VAL(3d)
  SELL | 2022-09-06 01:00 | $    20,100 | Cap: $     3,449 | VP>VAH(3d)
   BUY | 2022-09-06 18:00 | $    19,102 | Cap: $     3,449 | VP<VAL(3d)
  SELL | 2022-09-09 04:00 | $    19,950 | Cap: $     3,602 | VP>VAH(3d)
   BUY | 2022-09-13 15:00 | $    21,010 | Cap: $     3,602 | VP<VAL(3d)
  SELL | 2022-09-17 02:00 | $    20,001 | Cap: $     3,429 | VP>VAH(3d)
   BUY | 2022-09-18 22:00 | $    19,464 | Cap: $     3,429 | VP<VAL(3d)
  SELL | 2022-09-20 02:00 | $    19,464 | Cap: $     3,429 | VP>VAH(3d)
   BUY | 2022-09-21 22:00 | $    18,467 | Cap: $     3,429 | VP<VAL(3d)
  SELL | 2022-09-22 23:00 | $    19,398 | Cap: $     3,602 | VP>VAH(3d)
   BUY | 2022-09-23 14:00 | $    18,641 | Cap: $     3,602 | VP<VAL(3d)
  SELL | 2022-09-26 09:00 | $    19,274 | Cap: $     3,724 | VP>VAH(3d)
   BUY | 2022-09-28 03:00 | $    18,634 | Cap: $     3,724 | VP<VAL(3d)
  SELL | 2022-09-28 15:00 | $    19,382 | Cap: $     3,874 | VP>VAH(3d)
   BUY | 2022-10-01 21:00 | $    19,251 | Cap: $     3,874 | VP<VAL(3d)
  SELL | 2022-10-03 15:00 | $    19,416 | Cap: $     3,907 | VP>VAH(3d)
   BUY | 2022-10-06 22:00 | $    19,910 | Cap: $     3,907 | VP<VAL(3d)
  SELL | 2022-10-11 16:00 | $    19,148 | Cap: $     3,758 | VP>VAH(3d)
   BUY | 2022-10-11 19:00 | $    18,976 | Cap: $     3,758 | VP<VAL(3d)
  SELL | 2022-10-13 19:00 | $    19,420 | Cap: $     3,846 | VP>VAH(3d)
   BUY | 2022-10-18 15:00 | $    19,416 | Cap: $     3,846 | VP<VAL(3d)
  SELL | 2022-10-23 18:00 | $    19,475 | Cap: $     3,857 | VP>VAH(3d)
   BUY | 2022-10-27 21:00 | $    20,396 | Cap: $     3,857 | VP<VAL(3d)
  SELL | 2022-10-28 15:00 | $    20,499 | Cap: $     3,877 | VP>VAH(3d)
   BUY | 2022-10-31 09:00 | $    20,487 | Cap: $     3,877 | VP<VAL(3d)
  SELL | 2022-11-04 10:00 | $    20,570 | Cap: $     3,893 | VP>VAH(3d)
   BUY | 2022-11-07 | $    20,906 | Cap: $     3,893 | VP<VAL(3d)
  SELL | 2022-11-07 20:00 | $    20,848 | Cap: $     3,882 | VP>VAH(3d)
   BUY | 2022-11-07 23:00 | $    20,460 | Cap: $     3,882 | VP<VAL(3d)
  SELL | 2022-11-15 09:00 | $    16,921 | Cap: $     3,210 | VP>VAH(3d)
   BUY | 2022-11-16 14:00 | $    16,513 | Cap: $     3,210 | VP<VAL(3d)
  SELL | 2022-11-19 23:00 | $    16,738 | Cap: $     3,254 | VP>VAH(3d)
   BUY | 2022-11-20 12:00 | $    16,526 | Cap: $     3,254 | VP<VAL(3d)
  SELL | 2022-11-23 03:00 | $    16,512 | Cap: $     3,251 | VP>VAH(3d)
   BUY | 2022-11-26 19:00 | $    16,478 | Cap: $     3,251 | VP<VAL(3d)
  SELL | 2022-11-30 01:00 | $    16,847 | Cap: $     3,324 | VP>VAH(3d)
   BUY | 2022-11-30 18:00 | $    16,790 | Cap: $     3,324 | VP<VAL(3d)
  SELL | 2022-11-30 20:00 | $    17,061 | Cap: $     3,378 | VP>VAH(3d)
   BUY | 2022-12-03 23:00 | $    16,901 | Cap: $     3,378 | VP<VAL(3d)
  SELL | 2022-12-04 16:00 | $    17,030 | Cap: $     3,404 | VP>VAH(3d)
   BUY | 2022-12-07 08:00 | $    16,763 | Cap: $     3,404 | VP<VAL(3d)
  SELL | 2022-12-08 15:00 | $    16,898 | Cap: $     3,431 | VP>VAH(3d)
   BUY | 2022-12-11 21:00 | $    17,101 | Cap: $     3,431 | VP<VAL(3d)
  SELL | 2022-12-13 | $    17,209 | Cap: $     3,453 | VP>VAH(3d)
   BUY | 2022-12-15 14:00 | $    17,505 | Cap: $     3,453 | VP<VAL(3d)
  SELL | 2022-12-15 15:00 | $    17,455 | Cap: $     3,443 | VP>VAH(3d)
   BUY | 2022-12-15 18:00 | $    17,399 | Cap: $     3,443 | VP<VAL(3d)
  SELL | 2022-12-20 05:00 | $    16,792 | Cap: $     3,323 | VP>VAH(3d)
   BUY | 2022-12-22 15:00 | $    16,675 | Cap: $     3,323 | VP<VAL(3d)
  SELL | 2022-12-23 13:00 | $    16,872 | Cap: $     3,362 | VP>VAH(3d)
   BUY | 2022-12-24 | $    16,779 | Cap: $     3,362 | VP<VAL(3d)
  SELL | 2022-12-26 02:00 | $    16,856 | Cap: $     3,378 | VP>VAH(3d)
   BUY | 2022-12-27 15:00 | $    16,772 | Cap: $     3,378 | VP<VAL(3d)
  SELL | 2023-01-02 | $    16,617 | Cap: $     3,347 | VP>VAH(3d)
   BUY | 2023-01-03 15:00 | $    16,662 | Cap: $     3,347 | VP<VAL(3d)
  SELL | 2023-01-04 04:00 | $    16,863 | Cap: $     3,387 | VP>VAH(3d)
   BUY | 2023-01-05 14:00 | $    16,781 | Cap: $     3,387 | VP<VAL(3d)
  SELL | 2023-01-06 20:00 | $    16,940 | Cap: $     3,419 | VP>VAH(3d)
   BUY | 2023-01-18 16:00 | $    21,043 | Cap: $     3,419 | VP<VAL(3d)
  SELL | 2023-01-20 20:00 | $    21,497 | Cap: $     3,493 | VP>VAH(3d)
   BUY | 2023-01-25 | $    22,632 | Cap: $     3,493 | VP<VAL(3d)
  SELL | 2023-01-25 21:00 | $    22,936 | Cap: $     3,540 | VP>VAH(3d)
   BUY | 2023-01-27 02:00 | $    22,647 | Cap: $     3,540 | VP<VAL(3d)
  SELL | 2023-01-27 20:00 | $    23,253 | Cap: $     3,634 | VP>VAH(3d)
   BUY | 2023-01-30 20:00 | $    22,785 | Cap: $     3,634 | VP<VAL(3d)
  SELL | 2023-02-01 20:00 | $    23,386 | Cap: $     3,730 | VP>VAH(3d)
   BUY | 2023-02-05 13:00 | $    23,171 | Cap: $     3,730 | VP<VAL(3d)
  SELL | 2023-02-07 18:00 | $    23,283 | Cap: $     3,748 | VP>VAH(3d)
   BUY | 2023-02-09 04:00 | $    22,520 | Cap: $     3,748 | VP<VAL(3d)
  SELL | 2023-02-12 10:00 | $    21,907 | Cap: $     3,646 | VP>VAH(3d)
   BUY | 2023-02-13 10:00 | $    21,585 | Cap: $     3,646 | VP<VAL(3d)
  SELL | 2023-02-14 15:00 | $    22,247 | Cap: $     3,758 | VP>VAH(3d)
   BUY | 2023-02-20 01:00 | $    24,210 | Cap: $     3,758 | VP<VAL(3d)
  SELL | 2023-02-20 10:00 | $    24,883 | Cap: $     3,863 | VP>VAH(3d)
   BUY | 2023-02-21 17:00 | $    24,402 | Cap: $     3,863 | VP<VAL(3d)
  SELL | 2023-02-23 13:00 | $    23,913 | Cap: $     3,785 | VP>VAH(3d)
   BUY | 2023-02-24 16:00 | $    23,349 | Cap: $     3,785 | VP<VAL(3d)
  SELL | 2023-02-26 19:00 | $    23,487 | Cap: $     3,808 | VP>VAH(3d)
   BUY | 2023-02-28 22:00 | $    23,139 | Cap: $     3,808 | VP<VAL(3d)
  SELL | 2023-03-01 05:00 | $    23,794 | Cap: $     3,915 | VP>VAH(3d)
   BUY | 2023-03-01 20:00 | $    23,354 | Cap: $     3,915 | VP<VAL(3d)
  SELL | 2023-03-05 02:00 | $    22,591 | Cap: $     3,788 | VP>VAH(3d)
   BUY | 2023-03-07 15:00 | $    22,309 | Cap: $     3,788 | VP<VAL(3d)
  SELL | 2023-03-11 02:00 | $    20,587 | Cap: $     3,495 | VP>VAH(3d)
   BUY | 2023-03-15 05:00 | $    24,800 | Cap: $     3,495 | VP<VAL(3d)
  SELL | 2023-03-16 11:00 | $    24,930 | Cap: $     3,514 | VP>VAH(3d)
   BUY | 2023-03-18 23:00 | $    26,910 | Cap: $     3,514 | VP<VAL(3d)
  SELL | 2023-03-19 16:00 | $    27,547 | Cap: $     3,597 | VP>VAH(3d)
   BUY | 2023-03-22 20:00 | $    26,669 | Cap: $     3,597 | VP<VAL(3d)
  SELL | 2023-03-23 16:00 | $    28,581 | Cap: $     3,854 | VP>VAH(3d)
   BUY | 2023-03-24 17:00 | $    27,831 | Cap: $     3,854 | VP<VAL(3d)
  SELL | 2023-03-28 19:00 | $    27,344 | Cap: $     3,787 | VP>VAH(3d)
   BUY | 2023-03-30 18:00 | $    27,839 | Cap: $     3,787 | VP<VAL(3d)
  SELL | 2023-04-04 12:00 | $    28,290 | Cap: $     3,848 | VP>VAH(3d)
   BUY | 2023-04-07 08:00 | $    27,840 | Cap: $     3,848 | VP<VAL(3d)
  SELL | 2023-04-08 06:00 | $    28,141 | Cap: $     3,890 | VP>VAH(3d)
   BUY | 2023-04-17 01:00 | $    29,843 | Cap: $     3,890 | VP<VAL(3d)
  SELL | 2023-04-18 21:00 | $    30,419 | Cap: $     3,965 | VP>VAH(3d)
   BUY | 2023-04-19 09:00 | $    29,168 | Cap: $     3,965 | VP<VAL(3d)
  SELL | 2023-04-22 20:00 | $    27,623 | Cap: $     3,755 | VP>VAH(3d)
   BUY | 2023-04-22 22:00 | $    27,669 | Cap: $     3,755 | VP<VAL(3d)
  SELL | 2023-04-25 21:00 | $    27,975 | Cap: $     3,796 | VP>VAH(3d)
   BUY | 2023-05-01 02:00 | $    28,504 | Cap: $     3,796 | VP<VAL(3d)
  SELL | 2023-05-02 19:00 | $    28,719 | Cap: $     3,825 | VP>VAH(3d)
   BUY | 2023-05-06 15:00 | $    28,607 | Cap: $     3,825 | VP<VAL(3d)
  SELL | 2023-05-10 13:00 | $    28,175 | Cap: $     3,767 | VP>VAH(3d)
   BUY | 2023-05-11 14:00 | $    27,207 | Cap: $     3,767 | VP<VAL(3d)
  SELL | 2023-05-11 16:00 | $    27,179 | Cap: $     3,763 | VP>VAH(3d)
   BUY | 2023-05-11 18:00 | $    26,907 | Cap: $     3,763 | VP<VAL(3d)
  SELL | 2023-05-13 18:00 | $    26,812 | Cap: $     3,750 | VP>VAH(3d)
   BUY | 2023-05-17 09:00 | $    26,813 | Cap: $     3,750 | VP<VAL(3d)
  SELL | 2023-05-20 18:00 | $    27,139 | Cap: $     3,796 | VP>VAH(3d)
   BUY | 2023-05-21 22:00 | $    26,745 | Cap: $     3,796 | VP<VAL(3d)
  SELL | 2023-05-22 14:00 | $    27,007 | Cap: $     3,833 | VP>VAH(3d)
   BUY | 2023-05-24 08:00 | $    26,679 | Cap: $     3,833 | VP<VAL(3d)
  SELL | 2023-05-25 20:00 | $    26,469 | Cap: $     3,803 | VP>VAH(3d)
   BUY | 2023-05-31 05:00 | $    27,258 | Cap: $     3,803 | VP<VAL(3d)
  SELL | 2023-06-02 19:00 | $    27,193 | Cap: $     3,794 | VP>VAH(3d)
   BUY | 2023-06-05 01:00 | $    27,025 | Cap: $     3,794 | VP<VAL(3d)
  SELL | 2023-06-06 15:00 | $    26,025 | Cap: $     3,653 | VP>VAH(3d)
   BUY | 2023-06-10 05:00 | $    25,765 | Cap: $     3,653 | VP<VAL(3d)
  SELL | 2023-06-10 20:00 | $    25,750 | Cap: $     3,651 | VP>VAH(3d)
   BUY | 2023-06-14 21:00 | $    24,934 | Cap: $     3,651 | VP<VAL(3d)
  SELL | 2023-06-16 01:00 | $    25,497 | Cap: $     3,734 | VP>VAH(3d)
   BUY | 2023-06-24 16:00 | $    30,399 | Cap: $     3,734 | VP<VAL(3d)
  SELL | 2023-06-25 04:00 | $    30,748 | Cap: $     3,776 | VP>VAH(3d)
