
--- RSI|VP-buy m1% (346 entries, 5457%) ---
   BUY | 2018-01-03 02:00 | $    14,848 | Cap: $    10,000 | RSI>75
   BUY | 2018-09-13 12:00 | $     6,468 | Cap: $    13,089 | RSI>75
  SELL | 2018-09-17 15:00 | $     6,355 | Cap: $    12,861 | RSI<30
   BUY | 2018-09-20 16:00 | $     6,418 | Cap: $    12,861 | RSI>75
  SELL | 2018-09-24 07:00 | $     6,645 | Cap: $    13,316 | RSI<30
   BUY | 2018-09-27 20:00 | $     6,669 | Cap: $    13,316 | RSI>75
  SELL | 2018-09-29 05:00 | $     6,509 | Cap: $    12,996 | RSI<30
   BUY | 2018-10-08 13:00 | $     6,666 | Cap: $    12,996 | RSI>75
  SELL | 2018-10-10 06:00 | $     6,555 | Cap: $    12,780 | RSI<30
   BUY | 2018-10-15 06:00 | $     6,698 | Cap: $    12,780 | RSI>75
  SELL | 2018-10-16 04:00 | $     6,731 | Cap: $    12,843 | RSI<30
   BUY | 2018-10-16 05:00 | $     6,730 | Cap: $    12,843 | VP>VAH+1%(7d)
  SELL | 2018-10-18 18:00 | $     6,643 | Cap: $    12,677 | RSI<30
   BUY | 2018-10-18 19:00 | $     6,634 | Cap: $    12,677 | VP>VAH+1%(7d)
  SELL | 2018-10-18 20:00 | $     6,639 | Cap: $    12,687 | RSI<30
   BUY | 2018-10-18 21:00 | $     6,619 | Cap: $    12,687 | VP>VAH+1%(7d)
  SELL | 2018-10-18 22:00 | $     6,593 | Cap: $    12,638 | RSI<30
   BUY | 2018-10-18 23:00 | $     6,602 | Cap: $    12,638 | VP>VAH+1%(7d)
  SELL | 2018-10-19 | $     6,619 | Cap: $    12,670 | RSI<30
   BUY | 2018-10-19 01:00 | $     6,634 | Cap: $    12,670 | VP>VAH+1%(7d)
  SELL | 2018-10-19 02:00 | $     6,602 | Cap: $    12,610 | RSI<30
   BUY | 2018-10-19 03:00 | $     6,625 | Cap: $    12,610 | VP>VAH+1%(7d)
  SELL | 2018-10-19 04:00 | $     6,613 | Cap: $    12,587 | RSI<30
   BUY | 2018-10-19 05:00 | $     6,629 | Cap: $    12,587 | VP>VAH+1%(7d)
  SELL | 2018-10-19 09:00 | $     6,588 | Cap: $    12,509 | RSI<30
   BUY | 2018-10-19 10:00 | $     6,603 | Cap: $    12,509 | VP>VAH+1%(7d)
  SELL | 2018-10-19 13:00 | $     6,574 | Cap: $    12,453 | RSI<30
   BUY | 2018-10-19 14:00 | $     6,580 | Cap: $    12,453 | VP>VAH+1%(7d)
  SELL | 2018-10-20 01:00 | $     6,518 | Cap: $    12,336 | RSI<30
   BUY | 2018-10-21 16:00 | $     6,645 | Cap: $    12,336 | RSI>75
  SELL | 2018-10-25 02:00 | $     6,513 | Cap: $    12,091 | RSI<30
   BUY | 2018-11-04 19:00 | $     6,492 | Cap: $    12,091 | VP>VAH+1%(7d)
  SELL | 2018-11-09 10:00 | $     6,437 | Cap: $    11,988 | RSI<30
   BUY | 2018-11-28 13:00 | $     4,195 | Cap: $    11,988 | RSI>75
  SELL | 2018-11-30 14:00 | $     4,040 | Cap: $    11,545 | RSI<30
   BUY | 2018-12-01 17:00 | $     4,276 | Cap: $    11,545 | RSI>75
  SELL | 2018-12-03 16:00 | $     3,883 | Cap: $    10,483 | RSI<30
   BUY | 2018-12-09 16:00 | $     3,580 | Cap: $    10,483 | VP>VAH+1%(7d)
  SELL | 2018-12-10 16:00 | $     3,429 | Cap: $    10,041 | RSI<30
   BUY | 2018-12-17 13:00 | $     3,410 | Cap: $    10,041 | RSI>75
  SELL | 2018-12-21 23:00 | $     3,819 | Cap: $    11,245 | RSI<30
   BUY | 2018-12-24 01:00 | $     4,145 | Cap: $    11,245 | VP>VAH+1%(7d)
  SELL | 2018-12-25 01:00 | $     3,798 | Cap: $    10,304 | RSI<30
   BUY | 2018-12-28 17:00 | $     3,816 | Cap: $    10,304 | RSI>75
  SELL | 2019-01-03 20:00 | $     3,756 | Cap: $    10,141 | RSI<30
   BUY | 2019-01-06 18:00 | $     4,007 | Cap: $    10,141 | RSI>75
  SELL | 2019-01-10 07:00 | $     3,780 | Cap: $     9,565 | RSI<30
   BUY | 2019-01-14 16:00 | $     3,631 | Cap: $     9,565 | RSI>75
  SELL | 2019-01-15 21:00 | $     3,534 | Cap: $     9,311 | RSI<30
   BUY | 2019-01-19 11:00 | $     3,698 | Cap: $     9,311 | RSI>75
  SELL | 2019-01-20 12:00 | $     3,580 | Cap: $     9,014 | RSI<30
   BUY | 2019-01-26 08:00 | $     3,620 | Cap: $     9,014 | VP>VAH+1%(7d)
  SELL | 2019-01-27 05:00 | $     3,565 | Cap: $     8,877 | RSI<30
   BUY | 2019-02-08 16:00 | $     3,506 | Cap: $     8,877 | RSI>75
  SELL | 2019-02-24 15:00 | $     3,790 | Cap: $     9,595 | RSI<30
   BUY | 2019-03-05 14:00 | $     3,846 | Cap: $     9,595 | RSI>75
  SELL | 2019-03-21 15:00 | $     3,910 | Cap: $     9,754 | RSI<30
   BUY | 2019-03-22 12:00 | $     3,987 | Cap: $     9,754 | RSI>75
  SELL | 2019-03-25 19:00 | $     3,917 | Cap: $     9,581 | RSI<30
   BUY | 2019-03-27 10:00 | $     3,997 | Cap: $     9,581 | RSI>75
  SELL | 2019-04-04 18:00 | $     4,871 | Cap: $    11,678 | RSI<30
   BUY | 2019-04-04 19:00 | $     4,845 | Cap: $    11,678 | VP>VAH+1%(7d)
  SELL | 2019-04-11 16:00 | $     4,994 | Cap: $    12,037 | RSI<30
   BUY | 2019-04-15 | $     5,131 | Cap: $    12,037 | RSI>75
  SELL | 2019-04-15 20:00 | $     5,007 | Cap: $    11,745 | RSI<30
   BUY | 2019-04-17 05:00 | $     5,203 | Cap: $    11,745 | VP>VAH+1%(7d)
  SELL | 2019-04-25 23:00 | $     5,215 | Cap: $    11,773 | RSI<30
   BUY | 2019-05-01 02:00 | $     5,338 | Cap: $    11,773 | RSI>75
  SELL | 2019-05-17 04:00 | $     7,344 | Cap: $    16,198 | RSI<30
   BUY | 2019-05-19 03:00 | $     7,680 | Cap: $    16,198 | VP>VAH+1%(7d)
  SELL | 2019-05-31 13:00 | $     8,333 | Cap: $    17,575 | RSI<30
   BUY | 2019-06-01 02:00 | $     8,567 | Cap: $    17,575 | RSI>75
