date,funding_rate,open_interest_usd
2022-05-09,0.0001,2983266161.319486
2022-05-10,0.0001,2637565009.8590307
2022-05-11,3.669e-05,2464571383.372389
2022-05-12,-0.0002514866666666,2152596684.4111385
2022-05-13,-5.623333333333333e-06,2294403267.4087086
2022-05-14,0.0001,2173661854.9975367
2022-05-15,9.114333333333334e-05,2220757803.0370603
2022-05-16,7.941e-05,2274034121.9651794
2022-05-17,4.665e-05,2327893323.8875217
2022-05-18,-3.2720000000000005e-05,2275438391.668416
2022-05-19,4.249333333333333e-05,2408468277.2307835
2022-05-20,0.0001,2536232440.3847938
2022-05-21,6.699999999999998e-07,2395029435.4291177
2022-05-22,3.1156666666666666e-05,2476719926.042216
2022-05-23,0.0001,2590958611.4154687
2022-05-24,-3.385333333333333e-05,2514707814.5290365
2022-05-25,7.893e-05,2443371022.857878
2022-05-26,6.079e-05,2459389636.8873506
2022-05-27,0.0001,2393782490.638505
2022-05-28,9.570666666666668e-05,2381375763.968344
2022-05-29,0.0001,2471920191.108201
2022-05-30,0.0001,2772208043.922342
2022-05-31,0.0001,2831098686.522519
2022-06-01,0.0001,2725213915.473527
2022-06-02,9.733333333333334e-06,2544532848.183132
2022-06-03,7.009999999999998e-06,2553695456.0053115
2022-06-04,3.523666666666666e-05,2484630439.925459
2022-06-05,3.979666666666667e-05,2469631319.380965
2022-06-06,8.564e-05,2821983100.087943
2022-06-07,-1.3129999999999998e-05,2574363788.369436
2022-06-08,0.0001,2495435010.3040514
2022-06-09,9.702e-05,2496300189.906417
2022-06-10,7.597333333333333e-05,2533489458.180172
2022-06-11,2.9156666666666668e-05,2585371758.252967
2022-06-12,3.667333333333333e-05,2426885144.5480814
2022-06-13,6.180000000000001e-06,2018497733.3743312
2022-06-14,-3.711666666666666e-05,1862650889.0035336
2022-06-15,-3.3276666666666666e-05,1843852719.9856884
2022-06-16,-1.6386666666666667e-05,1870243780.480327
2022-06-17,-2.205333333333333e-05,1884771569.710004
2022-06-18,5.719333333333333e-05,1833108613.2342508
2022-06-19,2.3076666666666665e-05,1826142195.229928
2022-06-20,2.1376666666666665e-05,1890058554.219034
2022-06-21,5.665e-05,2021651991.038224
2022-06-22,-1.4813333333333334e-05,1924103815.8572795
2022-06-23,-1.7016666666666666e-05,1955634852.790341
2022-06-24,8.668666666666667e-05,2052903368.536263
2022-06-25,7.540333333333334e-05,2104285712.633695
2022-06-26,6.889666666666667e-05,2135267364.017976
2022-06-27,5.8183333333333336e-05,2057539008.515084
2022-06-28,-1.921333333333333e-05,2063255819.199777
2022-06-29,5.947333333333333e-05,2043439582.183185
2022-06-30,-6.904666666666666e-05,1937429209.3910704
2022-07-01,-4.5803333333333336e-05,1792031585.8494885
2022-07-02,1.475e-05,1785647572.4901743
2022-07-03,5.2e-05,1804175727.7897432
2022-07-04,4.89e-05,1948096988.7285664
2022-07-05,5.137e-05,2025775960.0824249
2022-07-06,9.457666666666668e-05,2047571355.1051824
2022-07-07,8.424666666666666e-05,2267557648.401564
2022-07-08,6.737333333333334e-05,2394470488.516819
2022-07-09,8.714333333333334e-05,2376651037.4950714
2022-07-10,9.987333333333332e-05,2301575564.097473
2022-07-11,6.759666666666666e-05,2145552314.0147383
2022-07-12,5.7010000000000005e-05,2140826675.901912
2022-07-13,-6.016666666666666e-06,2125299776.756236
2022-07-14,4.5026666666666674e-05,2180662798.125507
2022-07-15,4.086333333333333e-05,2329784654.343931
2022-07-16,4.950333333333333e-05,2354962243.85256
2022-07-17,8.915666666666667e-05,2429902761.1799903
2022-07-18,0.0001,2536886073.2967234
2022-07-19,0.0001,2563702691.400139
2022-07-20,9.372666666666669e-05,2769030128.369723
2022-07-21,0.0001,2622033664.300956
2022-07-22,8.390666666666666e-05,2676723902.113245
2022-07-23,6.688e-05,2696963110.964196
2022-07-24,7.354333333333333e-05,2626688156.1092634
2022-07-25,4.519e-05,2495766634.4896693
2022-07-26,7.437666666666666e-05,2336991521.1472883
2022-07-27,4.209e-05,2429773943.438626
2022-07-28,9.743e-05,2627476346.10684
2022-07-29,0.0001,2746791732.7694054
2022-07-30,0.0001,2829156729.864475
2022-07-31,8.760333333333334e-05,2745193243.736837
2022-08-01,8.816333333333335e-05,2687491434.5407925
2022-08-02,8.539333333333333e-05,2579012781.0213413
2022-08-03,2.5e-06,2700914972.3327312
2022-08-04,1.0076666666666666e-05,2580471942.405994
2022-08-05,3.527e-05,2558169121.550354
2022-08-06,8.492333333333335e-05,2549914533.8770123
2022-08-07,3.888e-05,2552929276.6774054
2022-08-08,7.596666666666667e-05,2832666228.745627
2022-08-09,9.306666666666667e-05,2719164562.9381223
2022-08-10,2.902333333333333e-05,2663102723.6203136
2022-08-11,7.372333333333333e-05,2896259232.955237
2022-08-12,2.3506666666666663e-05,2788664232.7628183
2022-08-13,2.35e-05,2953457326.869751
2022-08-14,1.1006666666666666e-05,2907224451.144366
2022-08-15,-1.3426666666666666e-05,2713073884.703291
2022-08-16,2.0896666666666663e-05,2614395739.4654737
2022-08-17,3.364e-05,2670242126.304964
2022-08-18,8.520666666666668e-05,2743016886.438395
2022-08-19,1.787333333333334e-05,2446563594.5603127
2022-08-20,-3.406333333333333e-05,2339654793.8515496
2022-08-21,-2.9266666666666665e-05,2358185020.424392
2022-08-22,-2.428666666666667e-05,2323023543.343237
2022-08-23,-2.1766666666666663e-05,2342943806.6844044
2022-08-24,-1.7939999999999998e-05,2402452116.3148475
2022-08-25,2.052e-05,2416788600.7774787
2022-08-26,1.3663333333333334e-05,2429886004.4052734
2022-08-27,-4.498e-05,2382645519.707964
2022-08-28,-4.199e-05,2383104662.888298
2022-08-29,-9.957333333333332e-05,2413517382.9393463
2022-08-30,-2.712e-05,2436108598.9263787
2022-08-31,2.88e-05,2318450884.857044
2022-09-01,5.095333333333333e-05,2335420569.15785
2022-09-02,3.948666666666667e-05,2358953551.7710767
2022-09-03,3.452666666666666e-05,2420318884.7725897
2022-09-04,2.723333333333333e-05,2540432689.901288
2022-09-05,4.089e-05,2521282327.014873
2022-09-06,1.1903333333333332e-05,2515923929.620572
2022-09-07,-3.1173333333333335e-05,2498978344.173352
2022-09-08,3.2046666666666666e-05,2335314833.449416
2022-09-09,7.104000000000001e-05,2755390559.2053103
2022-09-10,9.921333333333332e-05,2964549514.596735
2022-09-11,7.942333333333334e-05,3013172349.3348484
2022-09-12,9.415333333333334e-05,3156534728.1551914
